date,category,flag,scope,message,driver_number,lap_number
2024-05-24,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-05-24,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 2,,
2024-05-24,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,
2024-05-24,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 2,,
2024-05-24,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 2,,
2024-05-24,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,
2024-05-24,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 2,,
2024-05-24,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,
2024-05-24,Flag,RED,Track,RED FLAG,,
2024-05-24,Flag,CLEAR,Track,TRACK CLEAR,,
2024-05-24,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-05-24,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-05-24,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-05-24,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 8,,
2024-05-24,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 8,,
2024-05-24,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 2,,
2024-05-24,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,
2024-05-24,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
