date,category,flag,scope,message,driver_number,lap_number
2024-05-03,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-05-03,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 16,,
2024-05-03,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 15,,
2024-05-03,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 14,,
2024-05-03,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 15,,
2024-05-03,Flag,RED,Track,RED FLAG,,
2024-05-03,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 14,,
2024-05-03,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 15,,
2024-05-03,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,,
2024-05-03,Flag,CLEAR,Track,TRACK CLEAR,,
2024-05-03,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-05-03,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 14,,
2024-05-03,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 14,,
2024-05-03,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-05-03,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-05-03,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-05-03,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-05-03,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-05-03,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-05-03,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
