date,category,flag,scope,message,driver_number,lap_number
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 18,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 18,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 18,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 18,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 18,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 18,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 18,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 18,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 18,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 18,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 6,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 14,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 14,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 14,,
2024-11-22,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 7,,
2024-11-22,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 7,,
2024-11-22,Flag,RED,Track,RED FLAG,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,,
2024-11-22,Flag,CLEAR,Track,TRACK CLEAR,,
2024-11-22,Flag,CLEAR,Track,TRACK CLEAR,,
2024-11-22,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 14,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 14,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 14,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 14,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 18,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 18,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 18,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 18,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 6,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,
2024-11-22,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-11-22,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 7,,
2024-11-22,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 7,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,,
2024-11-22,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 9,,
2024-11-22,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 9,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 6,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 6,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 9,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,
