date,category,flag,scope,message,driver_number,lap_number
2024-09-14,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 18,,
2024-09-14,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 18,,
2024-09-14,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 2,,
2024-09-14,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,
2024-09-14,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-09-14,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-09-14,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 2,,
2024-09-14,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,
2024-09-14,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 1,,
2024-09-14,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 1,,
2024-09-14,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-09-14,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 13,,
2024-09-14,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-09-14,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 18,,
2024-09-14,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 18,,
2024-09-14,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 18,,
2024-09-14,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 18,,
2024-09-14,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 18,,
2024-09-14,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 5,,
2024-09-14,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 5,,
2024-09-14,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 5,,
2024-09-14,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 5,,
