date,category,flag,scope,message,driver_number,lap_number
2023-07-22,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-07-22,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 11,,
2023-07-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,
2023-07-22,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-07-22,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-07-22,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-07-22,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-07-22,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-07-22,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-07-22,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
